단지명,전용면적,계약년도,계약일,보증금,월세,층,위도,경도,지하철역,지하철거리,500m음식점수,계약날짜,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장
서울역한라비발디센트럴,84.9728,202201,26,15000.0,250,4,37.55457358286571,126.965847056196,서울역,376.5303456813306,89,2022/01/26,1197.8,2,2,5,0,67,24,65,4,37.0031250698845,손기정체육공원입구
래미안하이베르,84.98,202201,26,57000.0,7,14,37.5610379790132,127.020985832433,신당역,524.9534945478343,88,2022/01/26,1197.8,7,0,1,0,44,15,23,27,264.0077328980435,동화동
한진해모로,27.27,202201,26,2150.0,5,5,37.5637284114639,127.025710739466,상왕십리역,329.285131747168,1,2022/01/26,1197.8,3,0,0,0,18,7,4,16,155.76315185597636,신당초등학교
브라운스톤(355-0),117.742,202201,27,10000.0,400,30,37.560818788728895,126.968225883547,충정로(경기대입구)역,361.7916452355358,217,2022/01/27,1197.0,14,4,17,0,120,35,90,8,23.8510160033185,한국경제신문사.서소문역사공원
충무,67.77,202201,27,10000.0,80,10,37.5607315198784,127.00085531147099,동대입구역,458.9527599183493,174,2022/01/27,1197.0,16,9,15,5,107,37,58,32,159.18949873299243,앰버서더호텔
브라운스톤(355-0),117.742,202201,27,20000.0,350,30,37.560818788728895,126.968225883547,충정로(경기대입구)역,361.7916452355358,217,2022/01/27,1197.0,14,4,17,0,120,35,90,8,23.8510160033185,한국경제신문사.서소문역사공원
서울역센트럴자이,59.9808,202201,27,50000.0,120,8,37.5547800420518,126.964458224138,충정로(경기대입구)역,546.5467807347819,101,2022/01/27,1197.0,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구
서울역센트럴자이,59.943,202201,27,5000.0,250,8,37.5547800420518,126.964458224138,충정로(경기대입구)역,546.5467807347819,101,2022/01/27,1197.0,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구
브라운스톤(355-0),84.878,202201,28,23490.0,135,24,37.560818788728895,126.968225883547,충정로(경기대입구)역,361.7916452355358,217,2022/01/28,1202.4,14,4,17,0,120,35,90,8,23.8510160033185,한국경제신문사.서소문역사공원
이지마루오장,14.49,202201,28,1000.0,70,8,37.5643884715851,127.00195688803,동대문역사문화공원역,301.609724702947,262,2022/01/28,1202.4,24,3,7,3,91,35,49,30,90.55520884320347,베이튼호텔
남산트라팰리스,148.47,202201,28,0.0,675,31,37.5539946799726,126.975612746457,서울역,300.40511873242406,54,2022/01/28,1202.4,8,5,9,0,115,37,95,8,83.49973589710727,후암삼거리
서울역한라비발디센트럴,84.9774,202201,28,10000.0,280,8,37.55457358286571,126.965847056196,서울역,376.5303456813306,89,2022/01/28,1202.4,2,2,5,0,67,24,65,4,37.0031250698845,손기정체육공원입구
이지마루오장,14.49,202201,28,1000.0,70,8,37.5643884715851,127.00195688803,동대문역사문화공원역,301.609724702947,262,2022/01/28,1202.4,24,3,7,3,91,35,49,30,90.55520884320347,베이튼호텔
동대문와이즈캐슬,15.55,202201,28,1000.0,62,9,37.5657536581952,127.015443726545,신당역,76.31378679879745,159,2022/01/28,1202.4,9,5,0,11,52,17,26,31,102.6009616168716,충무아트센터.스포츠센터.중부소방서
