상세영업상태명	도로명주소	사업장명	업태구분명	좌표정보(X)	좌표정보(Y)	위도	경도
영업	서울특별시 중구 퇴계로 301 1층 102호 (쌍림동)	커피온리(동대문점)	커피숍	200385.9858	451300.0891	37.5639816	127.0022667
영업	서울특별시 중구 장충단로 247 굿모닝시티쇼핑몰 4층 14호 (을지로6가)	일루션 소프트아이스크림	아이스크림	200573.6413	451621.0365	37.56687322	127.0043909
영업	서울특별시 중구 다산로 212 1층 (신당동)	엔제리너스 청구역점	커피숍	201269.9059	451091.7455	37.56210372	127.012271
영업	서울특별시 중구 삼일대로 343 대신파이낸스센터 3층 (저동1가)	씨유 대신파이낸스센터점	편의점	198786.5998	451426.8116	37.56512253	126.9841638
영업	서울특별시 중구 동호로 169 (신당동)	CU약수사거리점	편의점	200946.387	450118.1102	37.55333173	127.0086082
영업	서울특별시 중구 청계천로 100 시그니쳐타워 1층 (수표동)	SCUP	커피숍	198916.6535	451694.8429	37.56753763	126.9856354
영업	서울특별시 중구 장충단로 247 굿모닝시티쇼핑몰 4층 10호 (을지로6가)	(주)에이디에이치인베스트먼트	일반조리판매	200573.6413	451621.0365	37.56687322	127.0043909
영업	서울특별시 중구 소공로 35 1층 108호 (회현동1가 남산 롯데캐슬)	홀빈	커피숍	198333.0285	450665.0543	37.55825844	126.9790317
영업	서울특별시 중구 남대문로 29-2 1층 (남대문로3가)	스마일명품꽈배기	패스트푸드	198071.7464	451018.63	37.56144359	126.9760737
영업	서울특별시 중구 동호로24길 3 성실빌딩 1층 (장충동2가)	씨유 동대입구역점	편의점	200386.4369	450781.2488	37.55930691	127.0022716
